step,total_loss,val_loss,lr_inbetween,lr_selector,selector_budget_weight,selector_entropy_weight,selector_aux_weight,selector_ratio,selector_budget,selector_entropy,selector_aux
200,0.3342965543270111,,1.3333333333333333e-05,6.666666666666667e-06,0.044444444444444446,0.00017777777777777779,0.5,0.8110833764076233,0.37342292070388794,0.3495727479457855,0.30813267827033997
400,0.2597731053829193,,2.6666666666666667e-05,1.3333333333333333e-05,0.08888888888888889,0.00035555555555555557,0.5,0.9754268527030945,0.6012868285179138,0.045981813222169876,0.2648284137248993
600,0.22737635672092438,,4e-05,2e-05,0.13333333333333333,0.0005333333333333334,0.5,0.802881121635437,0.36346566677093506,0.03945346176624298,0.1368032544851303
800,0.2473190575838089,,5.333333333333333e-05,2.6666666666666667e-05,0.17777777777777778,0.0007111111111111111,0.5,0.8010019659996033,0.3612033724784851,0.04748693108558655,0.11124559491872787
1000,0.2339472621679306,1.725998330116272,6.666666666666667e-05,3.3333333333333335e-05,0.22222222222222224,0.0008888888888888889,0.5,0.5823718309402466,0.14620822668075562,0.047582581639289856,0.14644064009189606
1200,0.2729906141757965,,8e-05,4e-05,0.26666666666666666,0.0010666666666666667,0.5,0.3499291241168976,0.02247874066233635,0.09310221672058105,0.1652185320854187
1400,0.2670525908470154,,9.333333333333334e-05,4.666666666666667e-05,0.3111111111111111,0.0012444444444444445,0.5,0.29437074065208435,0.008905836381018162,0.09216491878032684,0.10411516577005386
1600,0.2643740773200989,,9.999956610162866e-05,4.999978305081433e-05,0.35555555555555557,0.0014222222222222223,0.5,0.31714800000190735,0.013723652809858322,0.054934389889240265,0.1052166149020195
1800,0.31796836853027344,,9.999609496222017e-05,4.9998047481110086e-05,0.4,0.0016,0.5,0.3622988164424896,0.02634090557694435,0.030131109058856964,0.1184607520699501
2000,0.17710569500923157,0.6392257809638977,9.998915293706463e-05,4.9994576468532316e-05,0.4444444444444445,0.0017777777777777779,0.5,0.2237580269575119,0.0005644437042064965,0.02040940336883068,0.06862597912549973
2200,0.24199193716049194,,9.997874053346641e-05,4.998937026673321e-05,0.48888888888888893,0.001955555555555556,0.5,0.23538409173488617,0.0012520337477326393,0.11590661853551865,0.1329112946987152
2400,0.3602418303489685,,9.996485851233572e-05,4.998242925616786e-05,0.5333333333333333,0.0021333333333333334,0.5,0.5150869488716125,0.09927979111671448,0.3600083887577057,0.3629479706287384
2600,0.3884546756744385,,9.994750788813297e-05,4.9973753944066484e-05,0.5777777777777777,0.002311111111111111,0.5,0.5088791251182556,0.09540632367134094,0.2757101356983185,0.3081388473510742
2800,0.4496682584285736,,9.992668992879474e-05,4.996334496439737e-05,0.6222222222222222,0.002488888888888889,0.5,0.5514014363288879,0.12348297983407974,0.2899784743785858,0.3141475021839142
3000,0.40305691957473755,0.5711806893348694,9.990240615564099e-05,4.995120307782049e-05,0.6666666666666666,0.0026666666666666666,0.5,0.3619803488254547,0.02623763307929039,0.22409266233444214,0.13598798215389252
3200,0.3458636403083801,,9.987465834326395e-05,4.9937329171631975e-05,0.7111111111111111,0.0028444444444444446,0.5,0.3965746760368347,0.03864160180091858,0.10940610617399216,0.20665186643600464
3400,0.20587728917598724,,9.98434485193985e-05,4.992172425969925e-05,0.7555555555555555,0.003022222222222222,0.5,0.3102380037307739,0.012152416631579399,0.09338882565498352,0.14617536962032318
3600,0.17100326716899872,,9.980877896477386e-05,4.990438948238693e-05,0.8,0.0032,0.5,0.3468708097934723,0.02157103456556797,0.12823723256587982,0.05151467025279999
